Country Name,shortName,EFConsPerCap,HDI,Population
"Portugal","Portugal","3.87","0.84","10459716",
"Qatar","Qatar","12.57","0.85","2101288",
"Romania","Romania","2.63","0.8","19794162",
"Russian Federation","Russia","5.72","0.8","143367344",
"Rwanda","Rwanda","0.87","0.49","11078095",
"Samoa","Samoa","2.33","0.7","190390",
"Sao Tome and Principe","Sao Tome and Principe","1.62","0.56","182386",
"Saudi Arabia","Saudi Arabia","5.61","0.84","30201052",
"Senegal","Senegal","1.11","0.48","14221041",
"Serbia","Serbia","3.1","0.77","8937605",
"Sierra Leone","Sierra Leone","1.21","0.43","6178859",
"Singapore","Singapore","6.8","0.92","5405009",
"Slovakia","Slovakia","4.44","0.84","5419288",
"Slovenia","Slovenia","4.7","0.89","2064819",
"Solomon Islands","Solomon Islands","1.19","0.51","560685",
"South Africa","South Africa","3.37","0.66","53416608",
"Korea, Republic of","South Korea","5.85","0.9","49846760",
"South Sudan","South Sudan","1.72","0.42","11453810",
"Spain","Spain","4.03","0.88","46455164",
"Sri Lanka","Sri Lanka","1.43","0.76","20521960",
"Saint Kitts and Nevis","St. Kitts and Nevis","4.42","0.76","54301",
"Saint Lucia","St. Lucia","2.36","0.72","182305",
"Saint Vincent and Grenadines","St. Vincent and Grenadines","3.42","0.72","109327",
"Sudan","Sudan","1.43","0.49","38515096",
"Suriname","Suriname","4.01","0.72","533450",
"Swaziland","Swaziland","2.04","0.54","1250641",
"Sweden","Sweden","6.53","0.91","9624247",
"Switzerland","Switzerland","5.28","0.94","8118719",
"Syrian Arab Republic","Syria","1.44","0.57","19322594",
"Tajikistan","Tajikistan","0.93","0.62","8111894",
"Tanzania, United Republic of","Tanzania","1.25","0.51","50213456",
"Thailand","Thailand","2.57","0.74","67451424",
"Timor-Leste","Timor-Leste","0.74","0.61","1129315",
"Togo","Togo","1.01","0.47","6928719",
"Tonga","Tonga","2.89","0.72","105139",
"Trinidad and Tobago","Trinidad and Tobago","8.76","0.78","1348240",
"Tunisia","Tunisia","2.18","0.72","11005706",
"Turkey","Turkey","3.19","0.76","76223640",
"Turkmenistan","Turkmenistan","5.54","0.68","5240088",
"Uganda","Uganda","1.22","0.48","36573388",
"Ukraine","Ukraine","3.24","0.75","45165212",
"United Kingdom","United Kingdom","5.05","0.9","63955652",
"United States of America","United States","8.59","0.92","317135904",
"Uruguay","Uruguay","3.3","0.79","3407969",
"Uzbekistan","Uzbekistan","2.16","0.69","29033360",
"Vanuatu","Vanuatu","3.56","0.6","253165",
"Venezuela, Bolivarian Republic of","Venezuela","3.29","0.77","30276044",
"Viet Nam","Viet Nam","1.66","0.68","91378752",
"Yemen","Yemen","0.97","0.5","25533216",
"Zambia","Zambia","0.97","0.57","15246086",
"Zimbabwe","Zimbabwe","1.14","0.5","14898092",
